id_colis,id_produit,id_commande,exemplaire,motif
101009,1408,8713,2,la couleur du produit ne me plaît pas
101041,1237,83122,2,la couleur du produit ne me plaît pas
101063,469,81535,5,il y a un problème de taille
101067,1760,80277,3,j ai finalement changé d’avis sur mes besoins
101068,900,9520,2,il y a un problème de taille
101081,895,79960,1,il y a un problème de taille
101110,1450,78217,3,il existe une différence entre la fiche produit et l’article livré
101118,2064,10661,2,produit abimé
101146,510,14956,1,j ai finalement changé d’avis sur mes besoins
101156,1854,18481,2,produit abimé
101165,956,85498,4,j ai finalement changé d’avis sur mes besoins
101170,399,35222,2,il existe une différence entre la fiche produit et l’article livré
101216,380,27131,3,la couleur du produit ne me plaît pas
101260,890,7594,3,produit abimé
101272,1132,64010,2,la couleur du produit ne me plaît pas
101283,79,40275,1,produit abimé
101296,474,61490,2,produit abimé
101297,320,82396,1,Le produit ne convient pas
101328,768,8080,3,il existe une différence entre la fiche produit et l’article livré
101335,706,17112,1,j ai finalement changé d’avis sur mes besoins
101356,755,8113,3,il existe une différence entre la fiche produit et l’article livré
101358,551,29705,1,il existe une différence entre la fiche produit et l’article livré
101364,798,98267,1,il existe une différence entre la fiche produit et l’article livré
101392,504,83670,3,j ai finalement changé d’avis sur mes besoins
101394,527,23655,2,produit abimé
101413,1605,78839,4,il y a un problème de taille
101421,803,98340,2,il existe une différence entre la fiche produit et l’article livré
101441,2144,61231,5,produit abimé
101447,737,86531,1,la couleur du produit ne me plaît pas
101460,1923,37471,2,j ai finalement changé d’avis sur mes besoins
101477,1646,68787,2,j ai finalement changé d’avis sur mes besoins
101489,509,57359,1,Le produit ne convient pas
101500,1421,78138,2,j ai finalement changé d’avis sur mes besoins
101507,485,62820,2,il y a un problème de taille
101523,421,89446,2,la couleur du produit ne me plaît pas
101528,1533,97408,3,il y a un problème de taille
101545,1853,66494,3,Le produit ne convient pas
101585,1918,94902,1,Le produit ne convient pas
101586,941,52505,3,j ai finalement changé d’avis sur mes besoins
101587,884,36205,1,il existe une différence entre la fiche produit et l’article livré
101600,2197,38287,4,il y a un problème de taille
101617,417,29460,1,Le produit ne convient pas
101620,153,29117,1,j ai finalement changé d’avis sur mes besoins
101633,395,36074,3,il y a un problème de taille
101647,1555,71378,1,la couleur du produit ne me plaît pas
101664,583,31667,4,il existe une différence entre la fiche produit et l’article livré
101667,1367,24182,1,il existe une différence entre la fiche produit et l’article livré
101668,15,50325,2,produit abimé
101677,2186,79620,3,j ai finalement changé d’avis sur mes besoins
101678,932,77867,2,Le produit n’est pas à la hauteur de mes attentes
101687,1166,4673,1,il y a un problème de taille
101690,1533,30138,3,produit abimé
101692,76,28823,4,produit abimé
101693,223,1883,1,j ai finalement changé d’avis sur mes besoins
101707,2067,86589,3,la couleur du produit ne me plaît pas
101728,499,13683,4,Le produit ne convient pas
101776,50,26080,2,il existe une différence entre la fiche produit et l’article livré
101777,1697,98951,2,produit abimé
101800,1111,25539,3,il existe une différence entre la fiche produit et l’article livré
101820,2027,24105,1,Le produit n’est pas à la hauteur de mes attentes
101846,1907,64560,2,il y a un problème de taille
101859,782,18762,2,la couleur du produit ne me plaît pas
101870,1609,29992,4,la couleur du produit ne me plaît pas
101872,36,78164,1,la couleur du produit ne me plaît pas
101875,807,40036,2,j ai finalement changé d’avis sur mes besoins
101880,1118,2739,3,il y a un problème de taille
101893,1070,47242,1,Le produit n’est pas à la hauteur de mes attentes
101921,1004,94943,3,la couleur du produit ne me plaît pas
101922,900,57942,3,j ai finalement changé d’avis sur mes besoins
101936,1092,85897,1,il y a un problème de taille
101953,1303,13079,1,Le produit ne convient pas
102005,2186,89236,2,produit abimé
102015,1851,98724,1,produit abimé
102039,1403,9308,1,il existe une différence entre la fiche produit et l’article livré
102042,1779,22103,4,j ai finalement changé d’avis sur mes besoins
102053,319,22187,2,j ai finalement changé d’avis sur mes besoins
102055,314,66746,4,Le produit n’est pas à la hauteur de mes attentes
102088,1081,43982,3,Le produit ne convient pas
102094,1381,11522,1,Le produit ne convient pas
102106,810,94372,2,Le produit ne convient pas
102126,1382,63765,4,produit abimé
102141,1694,20901,4,il y a un problème de taille
102156,683,11328,3,la couleur du produit ne me plaît pas
102159,1405,55062,5,j ai finalement changé d’avis sur mes besoins
102184,1156,7055,1,la couleur du produit ne me plaît pas
102185,1862,36076,4,il y a un problème de taille
102201,1457,61389,4,il existe une différence entre la fiche produit et l’article livré
102209,135,80125,3,Le produit ne convient pas
102246,1238,57442,1,Le produit ne convient pas
102288,2188,84826,4,Le produit ne convient pas
102295,1775,95326,1,Le produit ne convient pas
102301,1211,59306,2,produit abimé
102305,311,68998,1,il y a un problème de taille
102339,967,71012,1,Le produit n’est pas à la hauteur de mes attentes
102365,6,13389,3,produit abimé
102373,2078,56679,4,il existe une différence entre la fiche produit et l’article livré
102382,473,70799,4,produit abimé
102393,2176,68103,1,Le produit ne convient pas
102402,287,55969,3,j ai finalement changé d’avis sur mes besoins
102411,1321,6583,1,la couleur du produit ne me plaît pas
102414,1282,36936,1,la couleur du produit ne me plaît pas
102422,1084,89984,1,Le produit n’est pas à la hauteur de mes attentes
102425,79,24359,2,j ai finalement changé d’avis sur mes besoins
102457,1004,63568,3,il existe une différence entre la fiche produit et l’article livré
102465,1714,2285,5,la couleur du produit ne me plaît pas
102467,1579,3488,2,produit abimé
102471,2154,4967,2,il y a un problème de taille
102489,2166,41881,1,Le produit n’est pas à la hauteur de mes attentes
102494,1711,42991,1,la couleur du produit ne me plaît pas
102500,624,52735,2,Le produit n’est pas à la hauteur de mes attentes
102504,1370,11836,4,la couleur du produit ne me plaît pas
102515,2043,20154,5,il existe une différence entre la fiche produit et l’article livré
102538,2011,41027,1,produit abimé
102552,2070,7664,1,Le produit n’est pas à la hauteur de mes attentes
102557,333,20555,3,il existe une différence entre la fiche produit et l’article livré
102561,745,78893,2,Le produit n’est pas à la hauteur de mes attentes
102567,1065,33404,2,Le produit n’est pas à la hauteur de mes attentes
102588,427,41689,3,Le produit n’est pas à la hauteur de mes attentes
102669,830,98820,2,produit abimé
102678,511,98533,2,la couleur du produit ne me plaît pas
102701,1321,57077,4,il y a un problème de taille
102704,1051,17239,2,il y a un problème de taille
102706,1807,91828,1,j ai finalement changé d’avis sur mes besoins
102707,2162,74839,5,Le produit ne convient pas
102724,1916,60232,5,Le produit n’est pas à la hauteur de mes attentes
102734,810,65314,2,Le produit n’est pas à la hauteur de mes attentes
102749,1244,64505,2,il existe une différence entre la fiche produit et l’article livré
102757,1685,95838,3,il y a un problème de taille
102758,95,43258,3,j ai finalement changé d’avis sur mes besoins
102761,833,37385,4,la couleur du produit ne me plaît pas
102762,164,80440,4,Le produit ne convient pas
102783,1033,61362,3,la couleur du produit ne me plaît pas
102793,138,35348,2,produit abimé
102800,979,13019,3,j ai finalement changé d’avis sur mes besoins
102813,1109,42782,1,il y a un problème de taille
102814,939,70515,2,la couleur du produit ne me plaît pas
102831,1217,57784,3,il y a un problème de taille
102840,1530,54157,2,j ai finalement changé d’avis sur mes besoins
102853,46,41009,2,il existe une différence entre la fiche produit et l’article livré
102876,1876,30296,1,Le produit ne convient pas
102925,102,16042,1,Le produit n’est pas à la hauteur de mes attentes
102960,1760,75170,1,la couleur du produit ne me plaît pas
102970,972,17013,2,produit abimé
102990,1596,4949,2,produit abimé
102996,1052,17231,1,j ai finalement changé d’avis sur mes besoins
103015,1838,82115,2,Le produit ne convient pas
103015,797,3823,3,Le produit n’est pas à la hauteur de mes attentes
103017,210,8230,3,il existe une différence entre la fiche produit et l’article livré
103017,1662,48651,5,il y a un problème de taille
103018,249,87943,3,il existe une différence entre la fiche produit et l’article livré
103022,1081,71329,4,produit abimé
103026,1325,4871,3,Le produit ne convient pas
103040,1634,62758,1,Le produit n’est pas à la hauteur de mes attentes
103047,704,80203,1,Le produit ne convient pas
103052,1164,28596,4,la couleur du produit ne me plaît pas
103060,1474,68401,1,j ai finalement changé d’avis sur mes besoins
103095,719,67753,2,la couleur du produit ne me plaît pas
103103,1231,1957,3,il y a un problème de taille
103125,1446,55997,1,il y a un problème de taille
103125,1825,7998,3,produit abimé
103131,1353,72612,4,il existe une différence entre la fiche produit et l’article livré
103144,272,27289,2,il y a un problème de taille
103149,1176,36956,1,produit abimé
103150,1543,55557,2,il existe une différence entre la fiche produit et l’article livré
103157,227,74589,1,Le produit ne convient pas
103171,708,37252,1,il existe une différence entre la fiche produit et l’article livré
103176,1052,50708,1,il y a un problème de taille
103178,791,41209,3,produit abimé
103182,169,1851,4,Le produit n’est pas à la hauteur de mes attentes
103184,410,11918,2,Le produit ne convient pas
103200,741,65819,3,la couleur du produit ne me plaît pas
103244,1450,50844,5,Le produit ne convient pas
103249,1779,75305,2,Le produit ne convient pas
103261,227,84687,1,il existe une différence entre la fiche produit et l’article livré
103268,1422,4826,3,Le produit n’est pas à la hauteur de mes attentes
103282,867,95394,1,Le produit n’est pas à la hauteur de mes attentes
103286,253,41979,2,il existe une différence entre la fiche produit et l’article livré
103290,1530,22932,3,produit abimé
103296,1409,40840,1,Le produit n’est pas à la hauteur de mes attentes
103298,1196,65625,1,la couleur du produit ne me plaît pas
103320,1947,35373,1,produit abimé
103349,286,37804,4,Le produit ne convient pas
103351,1313,67084,3,Le produit ne convient pas
103354,1778,22474,4,Le produit ne convient pas
103374,1261,26060,4,j ai finalement changé d’avis sur mes besoins
103392,1016,71545,1,il y a un problème de taille
103401,459,14199,1,j ai finalement changé d’avis sur mes besoins
103415,1358,14313,3,il y a un problème de taille
103416,31,16159,3,j ai finalement changé d’avis sur mes besoins
103443,2152,31620,2,Le produit n’est pas à la hauteur de mes attentes
103455,1708,5826,1,la couleur du produit ne me plaît pas
103484,532,61194,5,j ai finalement changé d’avis sur mes besoins
103496,1600,80189,1,Le produit ne convient pas
103518,1858,2921,3,j ai finalement changé d’avis sur mes besoins
103519,1155,21872,2,produit abimé
103566,1558,23773,4,j ai finalement changé d’avis sur mes besoins
103597,1432,74772,1,la couleur du produit ne me plaît pas
103607,664,52778,1,la couleur du produit ne me plaît pas
103629,1934,62106,2,la couleur du produit ne me plaît pas
103644,1549,93198,1,il y a un problème de taille
103648,1164,98846,1,j ai finalement changé d’avis sur mes besoins
103653,473,83210,3,il y a un problème de taille
103654,1045,36807,1,la couleur du produit ne me plaît pas
103693,677,39810,2,la couleur du produit ne me plaît pas
103694,1333,30552,3,il y a un problème de taille
103715,1355,44310,1,il existe une différence entre la fiche produit et l’article livré
103739,1412,7436,2,j ai finalement changé d’avis sur mes besoins
103777,2114,96679,2,la couleur du produit ne me plaît pas
103792,114,90740,3,j ai finalement changé d’avis sur mes besoins
103802,1278,77822,2,Le produit ne convient pas
103809,648,3208,1,Le produit ne convient pas
103816,1887,71923,4,Le produit ne convient pas
103820,1340,62370,1,produit abimé
103840,1896,99495,1,il existe une différence entre la fiche produit et l’article livré
103848,1032,53008,1,il existe une différence entre la fiche produit et l’article livré
103853,962,12807,3,il existe une différence entre la fiche produit et l’article livré
103869,2139,17966,3,produit abimé
103870,2138,96750,3,j ai finalement changé d’avis sur mes besoins
103878,1737,50425,4,il y a un problème de taille
103884,1238,26056,2,la couleur du produit ne me plaît pas
103885,1011,33983,1,produit abimé
103891,913,606,1,il y a un problème de taille
103894,1694,27600,4,il existe une différence entre la fiche produit et l’article livré
103902,1449,53602,1,il existe une différence entre la fiche produit et l’article livré
103913,1460,58771,2,il y a un problème de taille
103926,979,69763,2,Le produit n’est pas à la hauteur de mes attentes
103929,1606,32807,3,Le produit ne convient pas
103935,809,84009,1,Le produit ne convient pas
103942,1131,12571,3,il existe une différence entre la fiche produit et l’article livré
103956,16,21772,1,il existe une différence entre la fiche produit et l’article livré
103965,102,1127,2,Le produit ne convient pas
103969,156,21631,3,Le produit n’est pas à la hauteur de mes attentes
103979,1858,15317,4,Le produit ne convient pas
103992,1452,64186,1,produit abimé
104005,1513,19720,1,produit abimé
104011,87,1981,1,j ai finalement changé d’avis sur mes besoins
104083,289,34156,1,j ai finalement changé d’avis sur mes besoins
104092,821,91975,3,la couleur du produit ne me plaît pas
104118,842,9124,4,produit abimé
104120,967,2308,1,Le produit ne convient pas
104129,1243,98425,5,il y a un problème de taille
104146,1557,15269,1,il existe une différence entre la fiche produit et l’article livré
104154,1783,97916,3,Le produit n’est pas à la hauteur de mes attentes
104172,767,51653,1,il y a un problème de taille
104189,1108,13976,1,il existe une différence entre la fiche produit et l’article livré
104189,2060,47450,2,Le produit n’est pas à la hauteur de mes attentes
104191,271,18080,3,produit abimé
104235,1873,35585,1,la couleur du produit ne me plaît pas
104237,1824,82857,3,produit abimé
104256,1365,74106,1,il existe une différence entre la fiche produit et l’article livré
104273,241,55164,4,Le produit ne convient pas
104292,226,59630,3,il y a un problème de taille
104308,55,53066,2,produit abimé
104316,1481,53524,1,j ai finalement changé d’avis sur mes besoins
104326,23,88285,3,il existe une différence entre la fiche produit et l’article livré
104350,1904,23815,1,Le produit ne convient pas
104372,1172,91456,3,il existe une différence entre la fiche produit et l’article livré
104404,510,92550,2,la couleur du produit ne me plaît pas
104416,1081,74964,2,j ai finalement changé d’avis sur mes besoins
104425,626,81494,3,produit abimé
104497,1469,39590,2,il existe une différence entre la fiche produit et l’article livré
104498,1714,21187,2,Le produit ne convient pas
104499,1080,63293,5,la couleur du produit ne me plaît pas
104503,89,61245,3,produit abimé
104522,312,61152,1,j ai finalement changé d’avis sur mes besoins
104543,2115,33905,4,produit abimé
104566,465,17465,1,la couleur du produit ne me plaît pas
104577,1057,1614,4,Le produit ne convient pas
104586,1928,71122,1,il y a un problème de taille
104586,945,61534,3,la couleur du produit ne me plaît pas
104628,1453,55864,2,Le produit n’est pas à la hauteur de mes attentes
104648,1901,60727,1,la couleur du produit ne me plaît pas
104651,1942,14719,2,la couleur du produit ne me plaît pas
104662,1939,47644,1,Le produit n’est pas à la hauteur de mes attentes
104687,1546,56620,1,il y a un problème de taille
104689,1447,12355,1,produit abimé
104703,645,47440,3,il existe une différence entre la fiche produit et l’article livré
104764,1543,80929,1,il y a un problème de taille
104777,621,25206,2,Le produit ne convient pas
104787,392,64643,1,il existe une différence entre la fiche produit et l’article livré
104798,927,47428,3,produit abimé
104808,1930,16978,1,j ai finalement changé d’avis sur mes besoins
104830,2045,10683,3,il y a un problème de taille
104837,501,78048,3,Le produit ne convient pas
104844,1101,77878,4,il existe une différence entre la fiche produit et l’article livré
104845,23,92959,1,il y a un problème de taille
104847,247,69163,1,la couleur du produit ne me plaît pas
104857,38,74191,3,la couleur du produit ne me plaît pas
104862,1203,82456,4,j ai finalement changé d’avis sur mes besoins
104865,335,46303,5,Le produit n’est pas à la hauteur de mes attentes
104868,177,81810,2,produit abimé
104870,1058,99629,3,Le produit n’est pas à la hauteur de mes attentes
104871,1584,63747,3,il existe une différence entre la fiche produit et l’article livré
104873,1793,15704,1,Le produit n’est pas à la hauteur de mes attentes
104883,332,69923,2,il y a un problème de taille
104917,1692,18552,2,j ai finalement changé d’avis sur mes besoins
104918,1602,4837,5,il existe une différence entre la fiche produit et l’article livré
104941,1545,84097,1,Le produit ne convient pas
104947,1924,82755,1,la couleur du produit ne me plaît pas
104965,479,41938,3,Le produit ne convient pas
104990,134,30829,3,j ai finalement changé d’avis sur mes besoins
105002,104,3199,4,j ai finalement changé d’avis sur mes besoins
105024,1523,63640,4,il existe une différence entre la fiche produit et l’article livré
105025,330,85261,4,la couleur du produit ne me plaît pas
105034,881,11651,3,j ai finalement changé d’avis sur mes besoins
105060,1356,27171,1,Le produit n’est pas à la hauteur de mes attentes
105070,596,47253,1,il existe une différence entre la fiche produit et l’article livré
105090,404,1473,3,il y a un problème de taille
105094,325,21166,2,Le produit ne convient pas
105098,1864,85915,1,j ai finalement changé d’avis sur mes besoins
105131,866,75182,1,j ai finalement changé d’avis sur mes besoins
105142,1285,75437,2,produit abimé
105143,19,93138,3,il existe une différence entre la fiche produit et l’article livré
105147,1670,28971,4,produit abimé
105167,1861,76091,5,produit abimé
105168,1235,54273,5,Le produit ne convient pas
105179,928,24782,2,il existe une différence entre la fiche produit et l’article livré
105180,1422,40659,1,il y a un problème de taille
105215,727,58467,3,Le produit n’est pas à la hauteur de mes attentes
105231,1956,75783,2,il y a un problème de taille
105238,247,17763,2,la couleur du produit ne me plaît pas
105239,1446,63287,4,j ai finalement changé d’avis sur mes besoins
105276,2118,82341,2,Le produit n’est pas à la hauteur de mes attentes
105287,1339,63935,3,la couleur du produit ne me plaît pas
105312,1826,46745,1,j ai finalement changé d’avis sur mes besoins
105321,632,81254,4,la couleur du produit ne me plaît pas
105327,1018,52270,5,Le produit n’est pas à la hauteur de mes attentes
105370,2002,21455,1,il existe une différence entre la fiche produit et l’article livré
105376,1290,28200,5,il y a un problème de taille
105425,563,72435,1,la couleur du produit ne me plaît pas
105436,846,16148,3,il existe une différence entre la fiche produit et l’article livré
105469,1855,23753,3,produit abimé
105490,1205,58030,3,il y a un problème de taille
105513,396,80228,4,produit abimé
105518,443,42169,1,il existe une différence entre la fiche produit et l’article livré
105519,195,81280,5,Le produit n’est pas à la hauteur de mes attentes
105538,965,88703,1,j ai finalement changé d’avis sur mes besoins
105605,480,29846,2,j ai finalement changé d’avis sur mes besoins
105614,1149,11960,1,il y a un problème de taille
105622,579,94494,2,produit abimé
105630,746,6815,4,il existe une différence entre la fiche produit et l’article livré
105638,2096,91555,2,Le produit n’est pas à la hauteur de mes attentes
105671,1888,93737,1,il y a un problème de taille
105676,833,18078,1,il existe une différence entre la fiche produit et l’article livré
105677,157,68683,3,Le produit ne convient pas
105706,227,36177,2,j ai finalement changé d’avis sur mes besoins
105762,1946,69899,1,Le produit ne convient pas
105763,2091,19030,1,produit abimé
105771,528,83727,3,la couleur du produit ne me plaît pas
105801,1915,92854,2,la couleur du produit ne me plaît pas
105812,2083,64327,1,Le produit ne convient pas
105841,208,62129,4,produit abimé
105849,260,28122,3,il y a un problème de taille
105855,1474,15334,1,Le produit n’est pas à la hauteur de mes attentes
105860,1788,42504,3,Le produit ne convient pas
105866,1414,74467,2,Le produit n’est pas à la hauteur de mes attentes
105875,1419,21474,2,il existe une différence entre la fiche produit et l’article livré
105878,181,10612,1,j ai finalement changé d’avis sur mes besoins
105878,1942,7750,3,Le produit ne convient pas
105878,708,11996,4,il existe une différence entre la fiche produit et l’article livré
105892,1349,47190,1,il y a un problème de taille
105897,1116,24187,1,j ai finalement changé d’avis sur mes besoins
105897,1404,8451,4,la couleur du produit ne me plaît pas
105903,1616,6849,1,Le produit ne convient pas
105919,1815,18476,4,produit abimé
105924,1687,93313,2,il existe une différence entre la fiche produit et l’article livré
105929,654,63172,4,produit abimé
105931,1364,35205,5,j ai finalement changé d’avis sur mes besoins
105935,1961,48516,3,j ai finalement changé d’avis sur mes besoins
105945,782,81812,1,il y a un problème de taille
105978,337,30179,2,Le produit ne convient pas
105989,945,45353,1,Le produit ne convient pas
106006,822,39089,1,Le produit n’est pas à la hauteur de mes attentes
106007,153,88234,2,il y a un problème de taille
106022,126,33388,3,produit abimé
106025,482,62024,2,il existe une différence entre la fiche produit et l’article livré
106035,1430,84570,1,Le produit n’est pas à la hauteur de mes attentes
106036,1489,30777,1,il y a un problème de taille
106054,1285,78713,3,Le produit ne convient pas
106056,740,36435,1,il y a un problème de taille
106076,673,59518,2,la couleur du produit ne me plaît pas
106084,1652,57270,1,Le produit n’est pas à la hauteur de mes attentes
106100,1230,85455,1,j ai finalement changé d’avis sur mes besoins
106142,255,53810,4,Le produit ne convient pas
106154,27,71427,4,j ai finalement changé d’avis sur mes besoins
106168,966,16093,4,il y a un problème de taille
106171,1329,83645,4,Le produit ne convient pas
106177,446,98656,2,Le produit ne convient pas
106188,8,66093,4,la couleur du produit ne me plaît pas
106201,913,45026,4,il y a un problème de taille
106204,776,71759,4,il existe une différence entre la fiche produit et l’article livré
106205,1769,32336,3,il existe une différence entre la fiche produit et l’article livré
106207,1612,84679,2,produit abimé
106220,1991,83410,1,il y a un problème de taille
106229,1597,8909,3,j ai finalement changé d’avis sur mes besoins
106232,1560,22435,5,il y a un problème de taille
106308,783,14729,2,produit abimé
106320,1281,19887,1,il existe une différence entre la fiche produit et l’article livré
106331,1015,11472,2,il existe une différence entre la fiche produit et l’article livré
106349,1749,68546,3,il y a un problème de taille
106351,453,27568,1,Le produit n’est pas à la hauteur de mes attentes
106356,1149,60925,2,il existe une différence entre la fiche produit et l’article livré
106359,1600,58896,4,Le produit n’est pas à la hauteur de mes attentes
106359,1872,97664,5,j ai finalement changé d’avis sur mes besoins
106396,884,99847,5,il y a un problème de taille
106425,244,2529,1,la couleur du produit ne me plaît pas
106463,717,90080,3,Le produit ne convient pas
106497,1664,27237,2,il existe une différence entre la fiche produit et l’article livré
106527,1345,7260,5,Le produit ne convient pas
106554,629,75926,2,il existe une différence entre la fiche produit et l’article livré
106559,1904,37455,2,la couleur du produit ne me plaît pas
106561,89,26367,2,la couleur du produit ne me plaît pas
106577,2081,98640,2,il existe une différence entre la fiche produit et l’article livré
106593,1452,20525,2,il existe une différence entre la fiche produit et l’article livré
106606,915,69011,3,il existe une différence entre la fiche produit et l’article livré
106614,738,77283,2,Le produit ne convient pas
106627,869,30510,2,il y a un problème de taille
106644,85,63242,1,Le produit ne convient pas
106656,976,80117,1,il existe une différence entre la fiche produit et l’article livré
106659,1639,82548,3,il y a un problème de taille
106672,1858,73476,2,Le produit ne convient pas
106680,170,44127,1,il y a un problème de taille
106690,1715,71117,2,il y a un problème de taille
106697,292,99833,3,la couleur du produit ne me plaît pas
106698,2165,5550,5,Le produit ne convient pas
106700,1798,57236,1,la couleur du produit ne me plaît pas
106704,237,8421,5,produit abimé
106705,1527,27378,2,produit abimé
106726,973,16650,1,Le produit ne convient pas
106745,608,60889,2,la couleur du produit ne me plaît pas
106750,1495,72464,2,j ai finalement changé d’avis sur mes besoins
106752,2167,53615,1,produit abimé
106752,1463,50498,2,Le produit ne convient pas
106760,1699,82492,1,Le produit n’est pas à la hauteur de mes attentes
106769,1672,74096,1,produit abimé
106801,2088,29922,1,il y a un problème de taille
106818,1836,17827,2,Le produit n’est pas à la hauteur de mes attentes
106826,1421,97547,1,il y a un problème de taille
106835,1500,53110,5,la couleur du produit ne me plaît pas
106853,1026,92943,1,la couleur du produit ne me plaît pas
106860,377,49809,1,Le produit n’est pas à la hauteur de mes attentes
106866,1848,44079,3,produit abimé
106867,1009,38627,4,il y a un problème de taille
106873,1007,86997,1,la couleur du produit ne me plaît pas
106898,1465,39360,1,il existe une différence entre la fiche produit et l’article livré
106898,996,72156,3,Le produit ne convient pas
106904,376,59,1,il y a un problème de taille
106907,471,48064,1,j ai finalement changé d’avis sur mes besoins
106915,1336,29232,2,j ai finalement changé d’avis sur mes besoins
106919,1387,1285,1,il existe une différence entre la fiche produit et l’article livré
106942,2190,86880,1,Le produit ne convient pas
106952,283,61288,5,produit abimé
106964,1952,30891,1,il existe une différence entre la fiche produit et l’article livré
107001,1351,81567,3,il y a un problème de taille
107012,1136,86035,2,j ai finalement changé d’avis sur mes besoins
107013,170,16891,2,la couleur du produit ne me plaît pas
107015,1087,45380,1,produit abimé
107043,464,96676,1,il y a un problème de taille
107070,1981,49834,2,produit abimé
107072,146,49558,2,produit abimé
107098,760,64496,1,il existe une différence entre la fiche produit et l’article livré
107118,278,83079,1,la couleur du produit ne me plaît pas
107138,2070,19891,3,produit abimé
107176,150,57499,5,Le produit ne convient pas
107188,964,12151,1,produit abimé
107209,15,5627,3,Le produit ne convient pas
107214,1813,40246,2,j ai finalement changé d’avis sur mes besoins
107222,1355,5851,2,j ai finalement changé d’avis sur mes besoins
107247,1772,70942,2,Le produit n’est pas à la hauteur de mes attentes
107262,1599,63881,1,Le produit ne convient pas
107307,1349,23629,1,il existe une différence entre la fiche produit et l’article livré
107318,95,24976,2,il y a un problème de taille
107318,2161,16341,5,Le produit n’est pas à la hauteur de mes attentes
107335,713,64300,2,j ai finalement changé d’avis sur mes besoins
