id_client,id_commande,id_produit,id_colis,exemplaire,date_avis,avis,etoile
47944,1889,264,1889,3,2020-4-25,le produit n est pas original,3
43400,1980,597,1980,1,2021-11-3,j aime pas trop,4
31076,2003,177,2003,2,2021-12-4,je vous le conseille le produit est magnifique,2
45992,2069,95,2069,4,2021-11-21,le produit n est pas original,5
4286,2131,1492,2131,1,2020-12-21,je vous le conseille le produit est magnifique,2
2732,2199,1522,2199,1,2020-3-20,je suis deçu,5
77053,2251,2141,2251,4,2021-1-13,tres bonne qualité,5
87077,2275,229,2275,1,2020-5-10,j adoooore ce produt,4
84557,2285,972,2285,3,2021-7-3,je suis content,3
45245,2353,573,2353,5,2020-5-8,tres mauvaise qualité,4
37101,2405,988,2405,1,2020-3-5,je suis content,1
57083,2526,1997,2526,1,2020-3-2,tres mauvaise qualité,1
88295,2648,1908,2648,2,2021-7-24,j aime pas trop,4
34678,2672,417,2672,4,2020-11-24,j aime pas trop,5
70109,2685,740,2685,3,2021-5-23,tres mauvaise qualité,2
50474,2768,1005,2768,5,2020-6-26,je suis deçu,4
82048,2769,1325,2769,3,2021-7-26,tres bonne qualité,5
38359,2771,1287,2771,3,2020-1-3,top,1
24092,2847,1482,2847,2,2021-12-5,tres mauvaise qualité,3
43333,2893,533,2893,2,2021-6-3,je suis content,5
32206,2901,1569,2901,2,2021-4-13,je suis contente,1
62959,2940,816,2940,4,2021-6-20,j aime pas trop,4
30762,2945,277,2945,2,2021-10-9,je suis contente,5
39848,2970,13,2970,1,2021-10-4,je vous le conseille le produit est magnifique,3
11430,3074,1034,3074,2,2021-12-27,j aime pas trop,4
42819,3100,1330,3100,2,2020-6-20,tres mauvaise qualité,4
81341,3148,481,3148,3,2020-8-9,j adoooore ce produt,2
50555,3196,330,3196,1,2020-7-14,je suis contente,3
93098,3301,1192,3301,1,2021-11-2,tres bonne qualité,4
72067,3302,1688,3302,1,2020-8-27,je suis content,2
80099,3336,20,3336,1,2021-8-18,je vous le conseille le produit est magnifique,3
34803,3390,1758,3390,1,2020-6-6,j adoooore ce produt,1
71315,3442,1618,3442,3,2020-5-12,je suis deçu,4
15783,3590,1168,3590,1,2021-12-13,le produit n est pas original,2
95843,3694,388,3694,1,2020-1-25,tres mauvaise qualité,3
71319,3704,1935,3704,2,2020-11-26,je suis deçu,3
29544,3716,1565,3716,1,2020-3-6,je suis deçu,1
3398,3745,623,3745,3,2021-5-25,tres mauvaise qualité,4
65127,3803,390,3803,4,2021-9-6,top,2
48723,3834,1916,3834,2,2021-10-11,j adoooore ce produt,3
27870,3856,2096,3856,1,2020-3-19,j aime pas trop,4
15233,3942,518,3942,1,2021-4-19,je suis contente,1
2700,3969,1616,3969,2,2020-9-14,j aime pas trop,1
45386,4021,324,4021,3,2021-6-23,top,1
40407,4103,797,4103,3,2021-4-14,tres mauvaise qualité,3
64934,4124,1063,4124,2,2021-10-10,top,3
45287,4144,2071,4144,1,2020-6-10,j aime bien ,5
59687,4232,902,4232,1,2021-1-8,je suis content,3
32198,4403,1974,4403,4,2021-12-24,j aime bien ,1
62880,4454,1422,4454,4,2020-3-2,je suis deçu,4
13363,4467,1942,4467,1,2020-9-4,je suis content,5
10543,4507,2191,4507,1,2020-6-23,je vous le conseille le produit est magnifique,4
88482,4534,1582,4534,2,2021-2-11,j aime pas trop,1
3460,4541,2106,4541,2,2021-9-16,le produit n est pas original,3
15907,4569,1300,4569,1,2021-5-19,tres mauvaise qualité,2
40606,4588,1699,4588,2,2020-3-10,j aime pas trop,2
84176,4602,169,4602,3,2020-12-24,j aime bien ,5
74207,4608,1286,4608,2,2021-6-17,j aime bien ,1
8080,4633,590,4633,1,2020-10-10,flop,5
29370,4690,1942,4690,1,2021-9-15,je vous le conseille le produit est magnifique,4
9018,4697,1281,4697,2,2020-8-11,j aime pas trop,5
95349,4858,206,4858,1,2020-12-3,j adoooore ce produt,1
24240,4890,1333,4890,2,2021-2-18,tres mauvaise qualité,2
12248,4921,945,4921,2,2021-5-13,tres bonne qualité,1
47720,4981,152,4981,3,2021-10-1,j aime bien ,2
63384,4997,922,4997,1,2021-8-25,tres bonne qualité,2
10537,5000,1070,5000,4,2020-3-5,tres mauvaise qualité,2
89958,5075,713,5075,4,2020-10-1,je suis content,4
16871,5099,504,5099,4,2021-2-20,je vous le conseille le produit est magnifique,1
59457,5121,1192,5121,2,2020-3-12,je suis content,1
31201,5179,353,5179,2,2020-6-20,je vous le conseille le produit est magnifique,3
18939,5199,741,5199,1,2021-3-21,je suis deçu,2
92490,5268,2167,5268,3,2021-5-9,tres bonne qualité,5
26096,5331,1859,5331,5,2021-12-27,j aime pas trop,2
95218,5499,361,5499,3,2020-9-3,tres bonne qualité,4
41446,5510,1283,5510,2,2021-3-13,top,5
311,5516,677,5516,2,2021-2-7,je suis contente,5
41331,5613,2123,5613,4,2021-3-14,je vous le conseille le produit est magnifique,2
65487,5625,1538,5625,1,2021-2-23,je suis deçu,2
43937,5686,1467,5686,1,2021-4-16,flop,2
79184,5700,809,5700,1,2021-1-7,je suis content,2
78044,5723,1203,5723,5,2021-8-16,je suis content,5
80755,5772,83,5772,2,2021-7-9,je vous le conseille le produit est magnifique,4
39232,5805,617,5805,3,2021-1-3,tres bonne qualité,4
57776,5807,2043,5807,3,2021-2-11,je vous le conseille le produit est magnifique,4
17242,5944,337,5944,1,2020-10-9,tres mauvaise qualité,4
13248,5946,530,5946,1,2021-8-18,je suis deçu,5
97887,5948,1704,5948,4,2021-12-20,flop,4
57866,6043,2143,6043,4,2021-7-3,j aime pas trop,1
44967,6090,2023,6090,5,2021-12-2,je suis deçu,3
25653,6094,433,6094,4,2021-6-6,tres bonne qualité,2
66288,6298,352,6298,2,2021-1-24,je suis contente,4
88491,6319,1864,6319,1,2020-1-24,j aime pas trop,1
86457,6346,1507,6346,2,2021-7-12,je suis content,2
11253,6400,2174,6400,1,2020-2-1,flop,5
27287,6474,439,6474,1,2020-11-24,je vous le conseille le produit est magnifique,2
78627,6517,1160,6517,1,2021-9-18,je suis content,3
49683,6644,2017,6644,1,2021-5-9,je suis content,3
74868,6680,1496,6680,1,2020-2-24,tres bonne qualité,1
26170,6706,1028,6706,3,2021-10-28,le produit n est pas original,4
33131,6717,1389,6717,2,2021-8-7,tres bonne qualité,4
33131,6717,1696,6717,3,2021-8-7,j adoooore ce produt,2
46764,6725,1735,6725,2,2021-6-9,tres bonne qualité,4
81595,6781,201,6781,5,2020-10-2,je vous le conseille le produit est magnifique,2
36051,6786,562,6786,3,2021-12-15,je suis content,4
15882,6870,1420,6870,4,2021-8-2,tres bonne qualité,1
59679,6903,1295,6903,2,2020-5-12,j adoooore ce produt,4
14633,6933,1606,6933,1,2020-3-24,je vous le conseille le produit est magnifique,5
37014,6958,1365,6958,3,2021-7-10,je suis content,1
22307,6981,611,6981,2,2020-12-7,je suis contente,3
74125,7083,1594,7083,1,2021-6-4,j adoooore ce produt,2
53440,7099,1610,7099,2,2021-9-9,je suis deçu,3
34067,7116,1610,7116,2,2020-5-15,je suis content,5
25763,7121,1502,7121,5,2021-6-7,j aime bien ,4
62389,7199,712,7199,1,2020-1-23,le produit n est pas original,2
72000,7221,1238,7221,4,2021-11-4,j aime bien ,1
1765,7245,1307,7245,5,2020-12-17,je suis contente,3
83699,7313,52,7313,1,2021-6-5,je suis deçu,1
92814,7361,2035,7361,3,2021-1-19,j adoooore ce produt,3
80379,7487,1493,7487,3,2021-7-27,le produit n est pas original,2
33027,7507,543,7507,3,2021-11-23,je vous le conseille le produit est magnifique,1
62871,7677,1337,7677,1,2020-8-26,tres mauvaise qualité,4
39114,7738,916,7738,3,2021-1-12,flop,2
62179,7759,29,7759,4,2020-8-9,je suis deçu,2
54057,7761,1878,7761,2,2020-10-8,j aime pas trop,5
55170,7838,332,7838,2,2020-8-3,je suis content,3
11253,7916,899,7916,1,2021-3-21,j adoooore ce produt,5
65781,7933,1819,7933,3,2021-8-6,je suis content,1
95944,7981,1632,7981,4,2020-8-17,flop,2
40477,8045,1962,8045,1,2020-3-10,je suis content,5
75531,8161,1185,8161,2,2021-11-23,j aime pas trop,5
37911,8184,574,8184,3,2021-6-8,je suis content,2
11852,8219,1709,8219,1,2021-9-20,top,1
30912,8241,1086,8241,2,2021-3-22,je vous le conseille le produit est magnifique,4
21519,8357,890,8357,4,2020-10-27,je vous le conseille le produit est magnifique,2
62339,8380,1481,8380,3,2020-8-4,flop,4
87182,8395,2023,8395,1,2021-2-4,j adoooore ce produt,4
89769,8429,435,8429,1,2020-10-9,j adoooore ce produt,3
35670,8503,387,8503,3,2021-2-22,j adoooore ce produt,1
16398,8540,484,8540,4,2021-3-4,je suis content,5
85562,8684,1001,8684,1,2020-5-7,j adoooore ce produt,4
36640,8866,1141,8866,1,2020-11-28,j aime bien ,2
25080,8879,780,8879,2,2020-10-22,flop,5
64813,8886,1502,8886,3,2021-4-21,top,5
62804,8968,1188,8968,1,2021-4-28,je suis contente,2
83932,8984,1116,8984,3,2021-4-19,je suis deçu,4
24796,8997,289,8997,4,2021-11-20,le produit n est pas original,4
94450,9028,732,9028,2,2020-7-5,j adoooore ce produt,1
50490,9056,1015,9056,1,2021-5-13,j aime pas trop,3
92281,9112,173,9112,3,2020-1-28,le produit n est pas original,5
96849,9157,930,9157,3,2021-4-19,je suis content,3
3493,9192,2024,9192,5,2021-8-5,j aime pas trop,1
52955,9198,2102,9198,1,2020-10-6,je vous le conseille le produit est magnifique,4
71563,9211,278,9211,1,2021-4-20,j adoooore ce produt,5
35598,9422,1918,9422,4,2020-7-3,je vous le conseille le produit est magnifique,2
97769,9467,1617,9467,4,2020-8-28,je suis contente,3
94826,9507,1759,9507,2,2021-4-3,j aime bien ,2
25784,9637,1324,9637,4,2021-12-7,le produit n est pas original,2
57593,9705,1666,9705,3,2021-11-1,je suis content,1
24708,9715,218,9715,3,2020-12-8,je suis content,1
1566,9768,1165,9768,4,2020-11-10,j aime bien ,2
20004,9793,17,9793,2,2020-7-18,je suis content,1
867,9930,39,9930,2,2021-3-5,je suis content,3
37144,9948,686,9948,1,2020-4-11,je suis deçu,1
91586,9991,159,9991,2,2020-1-11,flop,3
90040,10092,291,10092,4,2020-2-4,tres mauvaise qualité,5
61314,10109,53,10109,2,2020-2-17,top,5
22110,10182,1921,10182,1,2020-2-15,j aime bien ,3
42958,10223,890,10223,1,2021-2-1,j adoooore ce produt,1
53248,10226,1658,10226,5,2020-4-3,j aime bien ,5
33581,10252,982,10252,1,2020-3-17,tres mauvaise qualité,5
83523,10281,229,10281,3,2021-7-28,le produit n est pas original,1
6776,10325,1253,10325,2,2021-9-11,tres bonne qualité,2
88151,10382,2154,10382,2,2020-12-15,je suis content,1
40098,10389,617,10389,1,2021-8-21,tres bonne qualité,5
8736,10392,2028,10392,2,2021-9-22,je suis deçu,2
1358,10487,1870,10487,3,2020-8-7,tres mauvaise qualité,5
42313,10495,92,10495,1,2021-2-5,je vous le conseille le produit est magnifique,3
79170,10530,1674,10530,5,2021-9-12,top,1
28454,10540,1889,10540,2,2021-10-7,je vous le conseille le produit est magnifique,4
62828,10590,1384,10590,3,2021-4-17,le produit n est pas original,1
92361,10662,2146,10662,1,2020-5-27,je suis contente,3
38330,10663,1624,10663,1,2020-6-20,je suis content,4
21185,10754,1040,10754,1,2021-2-10,tres mauvaise qualité,1
18314,10801,1594,10801,1,2020-9-24,je suis content,4
69145,10818,1515,10818,4,2021-6-10,je suis content,4
64189,10841,905,10841,2,2020-1-25,flop,5
24559,10859,306,10859,1,2020-6-16,tres mauvaise qualité,3
45258,10861,716,10861,2,2020-2-18,j aime bien ,5
62126,10931,369,10931,1,2020-7-2,je suis contente,2
46853,10994,1847,10994,1,2021-3-18,j aime pas trop,4
43874,11061,851,11061,3,2020-1-26,je vous le conseille le produit est magnifique,2
87614,11112,1480,11112,4,2020-2-2,je suis deçu,4
20453,11130,1668,11130,1,2021-2-9,flop,1
74518,11185,2100,11185,2,2020-5-21,top,5
71253,11209,1296,11209,4,2021-4-3,j adoooore ce produt,2
24367,11214,371,11214,2,2020-12-13,top,2
15847,11333,314,11333,2,2020-7-18,j aime pas trop,1
47640,11336,1679,11336,1,2020-12-19,je suis deçu,4
38504,11361,905,11361,2,2021-9-4,je suis content,1
6629,11373,1723,11373,1,2020-3-22,flop,3
49305,11381,1544,11381,5,2021-10-25,j aime pas trop,2
31379,11392,392,11392,3,2020-4-21,je vous le conseille le produit est magnifique,2
12471,11417,89,11417,3,2020-12-18,j aime pas trop,3
3096,11419,1189,11419,2,2020-8-5,je suis contente,4
40030,11537,680,11537,1,2021-9-16,tres bonne qualité,4
5604,11572,788,11572,1,2021-12-22,tres bonne qualité,2
38636,11677,41,11677,4,2021-4-9,j aime bien ,3
79206,11707,708,11707,2,2021-4-9,j aime bien ,4
20206,11783,1991,11783,5,2020-3-23,j adoooore ce produt,3
47738,11987,1229,11987,3,2021-8-24,je suis deçu,1
28230,12076,172,12076,2,2021-12-5,je suis contente,2
54847,12134,1373,12134,4,2020-8-12,tres mauvaise qualité,4
47398,12145,1720,12145,1,2020-11-26,top,4
12946,12152,216,12152,3,2020-12-26,tres bonne qualité,3
97320,12230,1806,12230,2,2021-12-15,j aime pas trop,4
84750,12244,1389,12244,1,2021-7-3,le produit n est pas original,2
51360,12279,1312,12279,2,2020-1-25,tres mauvaise qualité,2
49364,12284,326,12284,2,2021-6-18,je suis content,4
13222,12323,1078,12323,4,2021-1-19,tres bonne qualité,1
13954,12575,439,12575,1,2020-6-11,flop,2
83588,12592,430,12592,4,2020-2-27,tres bonne qualité,2
89629,12646,1537,12646,4,2020-8-7,j adoooore ce produt,4
94350,12672,699,12672,1,2020-11-23,j aime pas trop,2
34240,12885,2025,12885,4,2020-6-11,j adoooore ce produt,2
90175,12957,283,12957,3,2020-7-18,je suis deçu,3
78146,12986,1840,12986,3,2021-5-17,tres bonne qualité,4
80042,13033,440,13033,2,2021-8-14,flop,5
25459,13108,1446,13108,3,2021-11-9,flop,1
5638,13126,99,13126,4,2021-9-10,je suis contente,4
91595,13145,1431,13145,1,2020-3-23,j adoooore ce produt,1
88822,13147,1335,13147,2,2021-6-15,je suis deçu,1
47150,13166,1612,13166,1,2021-7-4,tres bonne qualité,1
23623,13197,606,13197,1,2021-1-26,je suis contente,5
56923,13334,984,13334,5,2020-6-12,tres mauvaise qualité,5
17312,13339,611,13339,2,2020-12-2,je suis content,5
29258,13409,5,13409,3,2021-10-27,j adoooore ce produt,1
68170,13487,924,13487,1,2021-8-27,je suis deçu,4
31332,13532,1152,13532,1,2020-6-12,top,4
4733,13534,1728,13534,1,2021-7-11,j aime bien ,1
93671,13567,1345,13567,3,2021-12-25,je vous le conseille le produit est magnifique,3
7983,13582,453,13582,3,2021-9-6,j aime bien ,4
90702,13604,860,13604,1,2021-6-5,j adoooore ce produt,5
63492,13630,877,13630,2,2021-5-10,je vous le conseille le produit est magnifique,5
9844,13639,326,13639,2,2020-2-10,j aime bien ,1
46469,13706,2016,13706,2,2021-4-28,tres bonne qualité,1
96184,13719,1622,13719,1,2020-4-6,j aime bien ,3
28387,13801,970,13801,2,2020-4-24,tres mauvaise qualité,1
33907,13832,325,13832,1,2020-12-3,le produit n est pas original,5
81136,13868,475,13868,1,2021-5-27,flop,1
58924,13879,121,13879,2,2021-7-10,tres bonne qualité,2
6435,13957,1856,13957,3,2021-3-14,j aime bien ,1
67695,13962,1474,13962,3,2021-10-23,tres mauvaise qualité,3
1043,13986,1724,13986,2,2021-5-24,top,2
81428,14032,807,14032,5,2020-7-1,tres mauvaise qualité,5
52739,14046,882,14046,5,2020-10-8,je suis content,3
61835,14061,354,14061,1,2021-2-27,top,1
57281,14083,598,14083,1,2020-2-18,je suis content,1
81539,14107,499,14107,1,2020-7-22,j aime pas trop,2
19850,14130,1577,14130,1,2020-1-18,top,4
96618,14142,732,14142,1,2020-8-6,top,4
9868,14143,444,14143,4,2020-10-15,tres mauvaise qualité,4
14470,14165,946,14165,1,2020-3-26,je suis content,2
10628,14211,492,14211,1,2021-4-6,je suis deçu,1
57388,14222,2174,14222,5,2021-10-3,je vous le conseille le produit est magnifique,4
82960,14273,1832,14273,2,2021-6-15,je suis deçu,2
62891,14324,513,14324,4,2021-7-21,je suis deçu,4
36722,14384,1521,14384,2,2020-5-25,top,4
67120,14452,2048,14452,3,2020-4-17,top,4
46960,14458,2020,14458,1,2020-12-15,tres bonne qualité,3
87708,14554,771,14554,3,2021-4-2,flop,4
11957,14579,341,14579,1,2020-2-9,j adoooore ce produt,1
68748,14646,549,14646,3,2020-12-5,je suis deçu,5
13643,14653,1036,14653,4,2021-12-21,j aime bien ,1
74937,14673,1485,14673,2,2020-5-21,je vous le conseille le produit est magnifique,5
60957,14721,1962,14721,3,2021-8-18,je suis content,5
7285,14742,539,14742,2,2020-8-26,je vous le conseille le produit est magnifique,1
72249,14780,277,14780,2,2021-8-2,je suis content,4
95206,14959,377,14959,3,2021-9-19,je suis deçu,5
56709,14966,1051,14966,1,2020-10-12,le produit n est pas original,2
56800,15159,335,15159,2,2021-7-3,je suis content,5
86851,15171,354,15171,1,2020-10-18,j aime bien ,1
36348,15319,1246,15319,2,2021-7-14,flop,1
4191,15344,2159,15344,2,2021-3-12,le produit n est pas original,1
88628,15356,335,15356,1,2020-5-10,le produit n est pas original,1
74977,15373,1863,15373,1,2020-7-10,j adoooore ce produt,3
52851,15392,2145,15392,2,2020-3-28,j aime bien ,1
11661,15466,1018,15466,3,2021-7-2,flop,1
36636,15493,1831,15493,3,2020-12-18,tres bonne qualité,2
31776,15510,276,15510,3,2020-9-7,je suis contente,1
83515,15540,1379,15540,2,2021-10-14,tres mauvaise qualité,5
24066,15548,1095,15548,3,2020-4-8,j adoooore ce produt,3
56778,15573,2184,15573,1,2020-11-8,tres mauvaise qualité,3
70586,15591,550,15591,1,2020-7-23,top,5
13938,15592,154,15592,3,2021-6-6,flop,2
39102,15645,2103,15645,2,2021-3-20,top,4
28183,15653,242,15653,2,2020-7-23,je vous le conseille le produit est magnifique,2
1146,15670,1707,15670,2,2020-10-16,j aime bien ,3
30295,15714,1545,15714,5,2020-9-4,j aime pas trop,5
22576,15721,829,15721,4,2020-12-27,je vous le conseille le produit est magnifique,3
38563,15726,1286,15726,2,2021-4-27,top,1
32819,15751,268,15751,2,2021-7-16,le produit n est pas original,2
73071,15780,1070,15780,2,2020-12-17,j aime bien ,4
89642,15810,221,15810,1,2020-12-23,je suis deçu,1
10791,15843,1761,15843,3,2020-7-7,je suis contente,5
65865,15967,1111,15967,3,2020-3-19,tres bonne qualité,4
76932,16000,1124,16000,1,2020-2-27,j aime bien ,2
2874,16207,565,16207,1,2021-9-4,je suis contente,2
89662,16210,373,16210,2,2020-5-23,top,1
52838,16251,934,16251,3,2021-7-18,je suis content,5
11084,16278,286,16278,3,2020-11-25,j aime bien ,4
8390,16321,1803,16321,2,2020-9-12,je vous le conseille le produit est magnifique,2
29715,16345,2159,16345,4,2020-11-6,j adoooore ce produt,3
82437,16360,981,16360,4,2021-1-13,tres mauvaise qualité,3
25756,16453,750,16453,4,2020-3-9,j aime pas trop,2
67160,16461,748,16461,2,2020-2-27,flop,4
4155,16469,2121,16469,2,2021-6-25,top,5
86131,16539,987,16539,1,2020-1-2,je suis content,5
46049,16598,270,16598,3,2021-7-10,tres bonne qualité,3
9311,16686,1940,16686,3,2021-1-16,je vous le conseille le produit est magnifique,2
15854,16742,68,16742,2,2021-5-8,flop,5
47614,16743,861,16743,1,2020-2-3,flop,1
81263,16758,920,16758,1,2021-3-13,le produit n est pas original,3
819,16828,1648,16828,1,2021-11-11,je suis contente,2
63614,16840,753,16840,2,2021-5-13,le produit n est pas original,4
80846,16847,2046,16847,3,2020-12-7,tres mauvaise qualité,1
56737,16861,2084,16861,3,2020-1-18,tres mauvaise qualité,3
79729,16893,1812,16893,1,2020-10-2,tres mauvaise qualité,2
63976,16897,1517,16897,1,2021-12-11,tres bonne qualité,1
43605,16972,1227,16972,1,2020-10-21,top,5
43102,17060,1928,17060,3,2021-4-22,je suis contente,3
42002,17110,486,17110,2,2020-9-7,je suis content,1
94658,17118,558,17118,3,2020-2-10,le produit n est pas original,1
54730,17132,2146,17132,3,2021-1-6,tres bonne qualité,2
32362,17185,450,17185,5,2021-8-27,flop,4
5785,17215,14,17215,4,2021-12-10,top,1
97432,17267,1412,17267,2,2020-11-26,j aime bien ,4
50998,17353,1767,17353,3,2021-11-2,tres bonne qualité,3
63642,17392,1496,17392,5,2020-3-20,top,2
42694,17428,2017,17428,3,2021-3-18,flop,5
42813,17441,1187,17441,4,2021-4-7,top,5
63957,17496,1128,17496,4,2020-12-1,j aime pas trop,3
6520,17498,1874,17498,1,2021-12-14,j adoooore ce produt,4
6520,17498,988,17498,4,2021-12-14,tres bonne qualité,5
15309,17516,1798,17516,3,2021-4-17,j adoooore ce produt,5
66543,17663,937,17663,4,2020-10-26,tres mauvaise qualité,1
16599,17809,1155,17809,1,2021-8-2,top,2
88640,17833,1033,17833,2,2021-6-8,je suis content,4
10680,17885,864,17885,1,2021-3-21,je suis deçu,4
87130,17892,464,17892,1,2020-12-13,top,4
17299,17957,1255,17957,1,2021-1-1,je suis content,1
58872,18152,1610,18152,4,2021-7-15,le produit n est pas original,3
57501,18191,986,18191,2,2020-10-4,j aime bien ,2
52657,18231,747,18231,3,2021-3-28,je vous le conseille le produit est magnifique,5
87141,18280,902,18280,5,2021-11-16,top,1
3112,18324,1143,18324,3,2021-3-25,j aime bien ,5
1757,18413,941,18413,3,2021-12-3,j adoooore ce produt,1
28960,18462,980,18462,5,2021-11-5,je suis content,4
31744,18560,834,18560,3,2021-1-17,je suis content,1
46607,18595,294,18595,2,2020-5-5,je suis contente,3
5602,18634,1311,18634,4,2020-6-28,je suis content,1
5240,18657,29,18657,4,2020-6-14,le produit n est pas original,1
77507,18679,1782,18679,3,2020-4-27,tres mauvaise qualité,2
83506,18681,534,18681,2,2021-6-24,j aime pas trop,1
51107,18725,702,18725,2,2020-5-6,j aime pas trop,5
3263,18838,578,18838,4,2021-1-5,j aime pas trop,5
12464,18843,541,18843,3,2020-9-13,top,4
87852,18868,1674,18868,1,2020-7-9,je suis contente,4
68058,18881,453,18881,1,2020-5-8,je vous le conseille le produit est magnifique,3
15999,18927,449,18927,3,2020-3-21,j aime pas trop,5
72739,19134,748,19134,1,2020-9-26,le produit n est pas original,4
37287,19138,1900,19138,3,2020-10-5,je suis deçu,4
94954,19196,2064,19196,2,2021-4-6,je suis contente,5
50633,19206,2123,19206,2,2020-4-10,tres mauvaise qualité,3
66755,19219,933,19219,3,2021-5-4,je vous le conseille le produit est magnifique,5
31382,19259,689,19259,1,2020-10-26,le produit n est pas original,3
76371,19265,1217,19265,3,2020-8-25,flop,4
15529,19303,1745,19303,1,2020-6-13,je suis deçu,5
77610,19311,1936,19311,3,2020-7-3,tres mauvaise qualité,2
67676,19355,2188,19355,3,2021-8-21,top,2
11286,19364,1902,19364,1,2020-2-3,j adoooore ce produt,4
96014,19383,1205,19383,1,2020-5-3,le produit n est pas original,5
28502,19402,856,19402,3,2021-7-19,tres bonne qualité,2
36796,19424,1295,19424,2,2020-9-22,tres mauvaise qualité,2
76281,19444,1391,19444,1,2021-2-17,je suis content,2
41102,19446,933,19446,2,2021-12-12,tres bonne qualité,2
65535,19503,282,19503,1,2021-6-5,tres bonne qualité,4
71272,19576,2114,19576,3,2021-10-16,top,2
12788,19695,670,19695,1,2020-11-23,j adoooore ce produt,1
18809,19700,2137,19700,3,2021-12-17,top,3
10262,19738,1502,19738,2,2020-5-19,je suis deçu,2
41301,19945,780,19945,1,2021-9-10,top,3
84081,20057,1172,20057,2,2020-2-23,je suis contente,4
88327,20140,1589,20140,1,2020-8-3,top,4
53637,20180,713,20180,1,2020-6-27,j aime bien ,3
48667,20236,1407,20236,4,2021-2-25,je vous le conseille le produit est magnifique,5
68802,20279,1438,20279,2,2021-7-24,tres mauvaise qualité,5
6085,20282,956,20282,2,2021-10-20,je vous le conseille le produit est magnifique,4
74929,20355,1030,20355,5,2021-4-12,j adoooore ce produt,5
13242,20417,605,20417,3,2021-1-7,tres mauvaise qualité,1
88086,20454,1517,20454,4,2020-2-28,tres bonne qualité,5
5170,20492,899,20492,2,2021-2-2,je vous le conseille le produit est magnifique,3
56697,20524,1898,20524,1,2021-5-27,tres mauvaise qualité,3
25594,20571,1697,20571,2,2021-8-8,top,2
60961,20797,1743,20797,1,2021-9-23,flop,1
58486,20884,717,20884,2,2021-10-4,j aime pas trop,1
71467,20985,2093,20985,2,2020-8-24,top,3
679,20994,2141,20994,3,2020-5-12,je suis contente,3
54098,21021,163,21021,4,2020-2-11,j aime bien ,4
76897,21043,1507,21043,3,2020-2-5,le produit n est pas original,3
25446,21054,1895,21054,1,2020-11-19,je suis content,4
18308,21154,401,21154,1,2020-8-18,top,5
944,21159,230,21159,3,2021-2-15,j aime pas trop,1
1580,21195,7,21195,5,2021-2-5,j adoooore ce produt,2
24012,21228,638,21228,2,2021-3-27,je suis content,4
24012,21228,59,21228,3,2021-3-27,le produit n est pas original,4
55288,21236,271,21236,1,2020-3-21,top,3
74989,21305,1567,21305,4,2020-9-23,top,5
15947,21381,1807,21381,2,2021-7-2,tres mauvaise qualité,5
95000,21428,1218,21428,4,2020-9-21,tres bonne qualité,2
1906,21459,126,21459,1,2021-4-22,tres mauvaise qualité,3
29607,21547,314,21547,1,2021-8-9,top,4
49566,21581,509,21581,2,2021-11-8,tres mauvaise qualité,5
76179,21661,2021,21661,2,2020-5-20,flop,3
41758,21762,626,21762,4,2021-8-14,j aime bien ,5
62408,21774,235,21774,5,2020-12-24,tres bonne qualité,3
1755,21858,975,21858,4,2020-3-11,top,5
52551,21896,893,21896,1,2021-3-9,tres bonne qualité,2
